시설명,어른관람료,운영기관전화번호
필암서원 유물전시관,500,061-390-7224
원주역사박물관,0,033-737-4371
뮤지엄산미술관,15000,033-730-9000
오랜미래신화미술관,0,033-746-5256
연세대학교 원주박물관,0,033-760-2731
뮤지엄산박물관,15000,033-730-9000
뮤지엄산(청조갤러리),15000,033-730-9000
치악산 고판화박물관,5000,033-761-7885
남원향토박물관,0,063-620-5797
청도박물관,0,054-370-2282
합천박물관,0,055-930-4882
합천한의학박물관,2000,055-934-0601
해인사성보박물관,2000,055-934-3150
신풍미술관,2000,054-653-9329
예천박물관,0,054-650-8311
신풍미술관,2000,054-653-9329
예천박물관,0,054-650-8311
인천개항박물관,500,032-760-7508
짜장면박물관,500,032-773-9812
영종역사관,1000,032-760-6300
중구생활사전시관,1000,032-766-2202
인천개항장 근대건축전시관,500,032-760-7549
한중문화관,1000,032-760-7860
성남아트센터 큐브미술관,0,031-783-8000
현대어린이책미술관 MOKA,0,031-5170-3700
미누현대미술관,8000,031-754-9696
신구대학교식물원 갤러리 우촌,7000,031-724-1625
판교박물관,0,031-729-4535
신구대학 우촌박물관,0,031-740-1258
기당미술관,1000,064-733-1586
신영영화박물관 무비스타,9000,064-805-0008
초콜릿 박물관,6000,064-792-3121
제주추사관,0,064-710-6803
조안베어뮤지엄,5000,064-739-1024
소암기념관,0,064-760-3511
유인미술관,12000,064-731-7791
김영갑갤러리 (두모악),4500,064-784-9905
제주커피박물관 바움,0,064-784-2255
세계오지민속박물관 (베니스랜드),12000,064-784-6565
제주해양과학관 (아쿠아플라넷),40900,064-780-0900
제주항공우주박물관,10000,064-800-2009
본태박물관,20000,064-792-8108
설록차전시관,0,064-794-5312
제주건강과 성 박물관,12000,064-792-5700
포레스트판타지아,15000,064-794-9680
세계자동차 제주박물관,11000,064-792-3000
헬로키티아일랜드,14000,064-792-6114
SOS박물관,12000,064-738-1448
닥종이인형박물관,5000,064-739-3906
아프리카 박물관,10000,064-738-6565
이중섭미술관,1500,064-760-3567
박물관은살아있다,12000,064-805-0888
곰완구전시관 (테디베어뮤지엄),10000,064-738-7600
제주유리박물관,9000,064-792-6262
왈종미술관,5000,064-763-3600
세계조가비박물관,6000,064-762-5551
자연사랑 미술관,0,064-787-3110
제주민속촌,11000,064-787-4501
세계술박물관,5000,064-787-9500
감귤박물관,1500,064-760-6398
박을복자수박물관,6000,02-990-7000
무안군오승우미술관,0,061-450-5482
이천시립월전미술관,2000,031-637-0033
이천시립박물관,0,031-635-8500
유엔평화기념관,0,051-901-1400
경성대학교박물관,0,051-663-5381
부경대학교박물관,0,051-629-6771
부산시립박물관,0,051-610-7150
경성대학교미술관,0,051-663-5361
하남역사박물관,0,031-790-7915
정림사지박물관,1500,041-832-2721
예송미술관,0,02-2147-2810
한국광고박물관,0,02-2144-0116
소마미술관,3000,02-425-1077
서울올림픽기념관,0,02-410-1354
롯데월드민속박물관,5000,02-1661-2000
한미사진미술관,6000,02-418-1315
한성백제박물관,0,02-2152-5800
몽촌역사관,0,02-2152-5900
롯데월드아쿠아리움,29000,02-1661-2000
롯데뮤지엄,13000,02-3213-1132
옹기민속박물관,0,02-900-0900
덕성여자대학교 박물관,0,02-901-8131
산악박물관,0,02-909-3693
신평생활사박물관,0,063-640-4121
조태일 시문학기념관,0,061-362-5868
거창박물관,0,055-940-8740
김중업건축박물관,0,031-687-0909
안양박물관,0,031-687-0909
돌석도예박물관,3000,031-464-7734
한광미술관,0,051-469-0095
국립제주박물관,0,064-720-8000
민속자연사박물관,2000,064-710-7708
제주교육박물관,0,064-752-9101
신영영화박물관 무비스타,9000,064-805-0008
제주민속촌,11000,064-787-4501
제주대학교?박물관,0,064-754-2242
설록차전시관,0,064-794-5312
제주평화박물관,6000,064-772-2500
감귤박물관,1500,064-760-6398
아프리카 박물관,10000,064-738-6565
제주돌박물관,5000,064-710-7731
제주건강과 성 박물관,12000,064-792-5700
파파월드,13000,064-799-7272
해녀박물관,1100,064-782-9898
세계자동차 제주박물관,11000,064-792-3000
테마공원 선녀와나무꾼,11000,064-784-9004
조안베어뮤지엄,5000,064-739-1024
김만덕기념관,0,064-759-6090
초콜릿 박물관,6000,064-792-3121
곰완구전시관 (테디베어뮤지엄),10000,064-738-7600
제주유리박물관,9000,064-792-6262
제주4.3 평화기념관,0,064-710-8435
설문대여성문화센터여성역사문화전시관,0,064-710-4246
세계조가비박물관,6000,064-762-5551
메이즈 뮤지움,11000,064-784-3838
다희연 티 뮤지엄,5000,064-782-0005
제주해양과학관 (아쿠아플라넷),40900,064-780-0900
SOS박물관,12000,064-738-1448
본태박물관,20000,064-792-8108
넥슨컴퓨터 박물관,8000,064-745-1994
헬로키티아일랜드,14000,064-792-6114
제주항공우주박물관,10000,064-800-2009
한울랜드뮤지엄,9000,064-783-5788
세계오지민속박물관 (베니스랜드),12000,064-784-6565
제주커피박물관 바움,0,064-784-2255
닥종이인형박물관,5000,064-739-3906
세계술박물관,5000,064-787-9500
기당미술관,1000,064-733-1586
이중섭미술관,1500,064-760-3567
김영갑갤러리 (두모악),4500,064-784-9905
자연사랑 미술관,0,064-787-3110
러브랜드 미술관,12000,064-712-6988
제주 현대미술관,2000,064-710-7801
돌하르방공원,6000,064-782-0570
포레스트판타지아,15000,064-794-9680
제주도립 김창열미술관,2000,064-710-4141
제주 유리의 성,11000,064-772-7777
소암기념관,0,064-760-3511
제주 도립미술관,2000,064-710-4300
제주추사관,0,064-710-6803
박물관은살아있다,12000,064-805-0888
그리스신화박물관,9000,064-773-5800
왈종미술관,5000,064-763-3600
성안미술관,0,064-729-9175
아라리오뮤지엄,10000,064-720-8250
유인미술관,12000,064-731-7791
경북대학교 박물관,0,053-950-6537
대구보건대학교 인당박물관,0,053-320-1857
경북대학교 미술관,0,053-950-7968
백제문화체험박물관,2000,041-940-4871
계명대학교 행소박물관,0,053-580-6992
소래역사관,500,032-460-0591
애보박물관,2500,032-466-3181
한국전통음식박물관,2500,032-466-3181
규남박물관,0,070-4233-9060
다산미술관,0,061-371-3443
소소미술관,0,061-375-1995
소아르미술관,0,061-371-8585
교동아트미술관,0,063-287-1245
전주미술관,4000,063-283-8887
누벨벡미술관,0,063-222-7235
예깊미술관,0,063-911-2207
이당미술관,0,063-446-5903
익산예술의전당 미술관,0,1577-0072
W미술관,0,063-835-3033
정읍시립미술관,0,063-539-7114
수지미술관,3000,063-631-1009
예가람길 미술관,0,063-632-0080
전라북도도립미술관,0,063-280-2114
VM(비주얼 미디어)아트 미술관,0,070-8915-8123
최북미술관,0,063-320-2114
금구원야외조각미술관,2000,063-584-6770
휘목미술관,0,063-584-0006
국립전주박물관,0,063-223-5651
미륵사지유물전시관,0,063-830-0900
전주역사박물관,0,063-228-6485
익산보석박물관,3000,063-859-4641
남원향토박물관,3000,063-620-6792
벽골제농경문화박물관,0,063-540-4989
고창판소리박물관,800,063-560-8061
전주전통술박물관,0,063-287-6305
왕궁리유적전시관,0,063-859-4631
어진박물관,0,063-231-0190
청자박물관,3000,063-580-3964
군산근대역사박물관,3000,063-454-7870
동학농민혁명기념관,0,063-536-1894
전라북도산림박물관,0,063-652-6792
진안역사박물관,0,063-430-8086
익산 마한박물관,0,063-859-4633
정읍시립박물관,0,063-539-6792
순창장류박물관,0,063-650-1627
원불교역사박물관,0,063-850-3240
원숭이자연사박물관,7000,063-584-0708
전주한지박물관,0,063-210-8103
예수병원의학박물관,0,063-230-8778
카메라영상박물관,0,063-560-6600
연안이씨종중문적(보물651호)박물관,3000,063-852-7277
완주책박물관,0,070-8915-8131
전북대학교박물관,0,063-270-3488
전주대학교박물관,0,063-220-2159
군산대학교박물관,0,063-469-4191
원광대학교박물관,0,063-850-5482
일본군''위안부''역사관,5000,031-768-0064
영은미술관,6000,031-761-0137
닻미술관,2000,031-798-2581
만해기념관,2000,031-744-3100
사람박물관 얼굴,4000,031-765-3522
풀짚공예박물관,3000,031-717-4538
백제군사박물관,0,041-746-8432
세종특별자치시립 민속박물관,0,044-300-8831
교과서박물관,0,044-300-8831
뒤웅박고을,0,044-868-7007
연기향토박물관,3000,044-862-7449
산림박물관,1500,044-850-2686
국립조세박물관,0,044-204-4646
남도향토음식박물관,0,062-410-6638
대성동고분박물관,0,055-330-6881
클레이아크 김해미술관,2000,055-340-7000
고구려대장간마을,0,031-550-2363
외교박물관,0,02-3497-8700
전기박물관,0,02-2105-8192
관문사성보박물관,0,02-3460-5300
인도박물관,3000,02-585-2185
서울서예관,0,02-580-1282
한가람디자인미술관,0,02-580-1282
한가람미술관,0,02-580-1282
유리지공예관,0,02-578-6663
한원미술관,0,02-588-5642
인천광역시립박물관,0,032-440-6750
가천박물관,0,032-833-4747
경남도립미술관,1000,055-254-4600
군산근대역사박물관,2000,063-454-7870
양산시립박물관,0,055-392-3314
의성조문국박물관,0,054-830-6909
영암군립하정웅미술관,0,061-470-6841
영암도기박물관,0,061-470-6851
상주자전거박물관,0,054-534-4973
함창 명주박물관,0,054-541-9260
상주박물관,1000,054-537-6752
허준박물관,1000,02-3661-8686
겸재정선미술관,1000,02-2659-2206
정읍시립미술관,0,063-539-6419
정읍시립박물관,0,063-539-6792
건국대학교박물관,0,02-450-3880
세종대학교박물관,0,02-3408-3277
추사박물관,2000,02-2150-3650
세계다문화박물관,7000,02-323-6848
은평역사한옥박물관,1000,02-351-8524
통영옻칠미술관,3000,055-649-5257
전혁림미술관,0,055-645-7349
통영시립박물관,2000,055-646-8371
평강 성서유물박물관,2000,02-2686-9496
거제박물관,3000,055-687-6790
거제민속박물관,2000,055-637-3722
해금강테마박물관,6000,055-632-0670
외도조경식물원,11000,070-7715-3330
거제어촌민속전시관,3000,055-639-8270
포로수용소유적박물관,7000,055-639-8125
국립해양박물관,0,051-309-1900
수도국산달동네박물관,1000,032-770-6133
진주시립 이성자미술관,2000,055-749-3661
국립진주박물관,2000,055-742-5951
경상대학교 부속박물관,0,055-772-0601
진주 청동기문화박물관,0,055-749-5172
삼성 교통박물관,6000,031-320-9900
한국등잔박물관,4000,031-334-0797
명지대학교박물관,0,031-330-6074
용인대학교박물관,0,031-8020-3001
경희대학교혜정박물관,0,031-201-2014
단국대학교석주선기념박물관,0,031-8005-2389
경기도박물관,4000,031-288-5300
경기도어린이박물관,4000,031-270-8636
한국민속촌박물관,18000,031-288-0000
삶의이야기가있는집,0,031-334-4115
호암미술관,4000,031-320-1800
용인문화유적전시관,0,031-324-4796
예아리박물관,5000,031-323-7277
신영숙컬렉션박물관,9000,031-282-8845
설민민화박물관,0,031-336-1541
한국미술관,0,031-284-6418
이영미술관,9000,031-213-8223
마가미술관,4000,031-334-0365
백남준아트센터,4000,031-201-8500
안젤리미술관,5000,031-323-1968
청량산박물관,0,054-679-6672
충재박물관,0,054-674-0963
울산박물관,0,052-222-8501
울산암각화박물관,0,052-229-4797
울산대곡박물관,0,052-229-6638
동두천시 경기북부어린이박물관,4000,031-860-2860
자유수호평화박물관,1000,031-860-3333
대구미술관,1000,053-803-7900
가일미술관,3000,031-584-4722
남송미술관,3000,031-581-0772
설미재미술관,3000,031-585-6276
일지미술관,0,031-585-0180
남해유배문학관,2000,055-860-8626
보물섬마늘나라,0,055-860-3986
덕포진교육박물관,2500,031-989-8580
보름산미술관,0,031-985-0005
CICA미술관,5000,031-988-6363
다도박물관,5000,031-998-1000
CICA미술관,5000,031-988-6363
보름산미술관,0,031-985-0005
외할머니의 부엌,2000,031-984-1993
