관리번호,공원명,공원구분,소재지도로명주소,전화번호
29170-00001,문화근린공원,근린공원,광주광역시 북구 대천로 86,062-410-6438
29170-00002,두암제1근린공원,근린공원,광주광역시 북구 삼정로 36,062-410-6438
29170-00003,첨단체육근린공원,근린공원,광주광역시 북구 임방울대로 877,062-410-6438
29170-00004,일곡제1근린공원,근린공원,광주광역시 북구 일곡로 55,062-410-6438
29170-00005,일곡제2근린공원,근린공원,광주광역시 북구 설죽로 526,062-410-6438
29170-00006,일곡제3근린공원,근린공원,광주광역시 북구 양일로 297,062-410-6438
29170-00007,첨단2주거1호근린공원,근린공원,광주광역시 북구 첨단연신로107번길 26,062-410-6438
29170-00008,첨단2산업2호근린공원,근린공원,광주광역시 북구 연제동 1020,062-410-6438
29170-00009,첨단2주거3호근린공원,근린공원,광주광역시 북구 신용동 649,062-410-6438
29170-00010,우산근린공원,근린공원,광주광역시 북구 동문대로 141,062-410-6438
29170-00011,본촌근린공원,근린공원,광주광역시 북구 하서로 309,062-410-6438
29170-00012,운암제3 근린공원,근린공원,광주광역시 북구 운암동 산 94,062-410-6438
29170-00013,영산강대상근린공원,근린공원,광주광역시 북구 오룡동 1117,062-410-6438
29170-00014,운암산 근린공원,근린공원,광주광역시 북구 동림동 37-54,062-410-6438
29170-00015,태봉어린이공원,어린이공원,광주광역시 북구 자동차로48번길 34,062-410-6438
29170-00016,미리내어린이공원,어린이공원,광주광역시 북구 경열로234번길 19,062-410-6438
29170-00017,운암어린이공원,어린이공원,광주광역시 북구 운암동 95,062-410-6438
29170-00018,버들어린이공원,어린이공원,광주광역시 북구 대자로106번길 12,062-410-6438
29170-00019,지우어린이공원,어린이공원,광주광역시 북구 북문대로20번길 23,062-410-6438
29170-00020,신용제1어린이공원,어린이공원,광주광역시 북구 용봉로 12,062-410-6438
29170-00021,효동어린이공원,어린이공원,광주광역시 북구 우치로1번길 10,062-410-6438
29170-00022,효죽어린이공원,어린이공원,광주광역시 북구 용봉로138번길 22-6,062-410-6438
29170-00023,용흥어린이공원,어린이공원,광주광역시 북구 우치로100번길 26,062-410-6438
29170-00024,꿈동산어린이공원,어린이공원,광주광역시 북구 군왕로171번길 10-7,062-410-6438
29170-00025,무등어린이공원,어린이공원,광주광역시 북구 두암동 595-5,062-410-6438
29170-00026,희망어린이공원,어린이공원,광주광역시 북구 두암동 564-1,062-410-6438
29170-00027,우리어린이공원,어린이공원,광주광역시 북구 중문로84번길 5,062-410-6438
29170-00028,하백어린이공원,어린이공원,광주광역시 북구 매곡동 83-3,062-410-6438
29170-00029,무진어린이공원,어린이공원,광주광역시 북구 삼정로95번길 27,062-410-6438
29170-00030,부영어린이공원,어린이공원,광주광역시 북구 삼정로 71-1,062-410-6438
29170-00031,초롱어린이공원,어린이공원,광주광역시 북구 삼정로82번길 13-4,062-410-6438
29170-00032,평교어린이공원,어린이공원,광주광역시 북구 평교로 23,062-410-6438
29170-00033,그린어린이공원,어린이공원,광주광역시 북구 서방로81번길 88,062-410-6438
29170-00034,둘리어린이공원,어린이공원,광주광역시 북구 서방로181번길 43,062-410-6438
29170-00035,새싹어린이공원,어린이공원,광주광역시 북구 면앙로192번길 22,062-410-6438
29170-00036,어울림어린이공원,어린이공원,광주광역시 북구 서방로148번길 18,062-410-6438
29170-00037,반룡어린이공원,어린이공원,광주광역시 북구 용봉동 1227-8,062-410-6438
29170-00038,봉곡어린이공원,어린이공원,광주광역시 북구 반룡로17번길 15,062-410-6438
29170-00039,새봄어린이공원,어린이공원,광주광역시 북구 용봉동 1250-6,062-410-6438
29170-00040,용주어린이공원,어린이공원,광주광역시 북구 용봉동 1214,062-410-6438
29170-00041,고운어린이공원,어린이공원,광주광역시 북구 서하로274번길 16,062-410-6438
29170-00042,박들어린이공원,어린이공원,광주광역시 북구 오치동 913-19,062-410-6438
29170-00043,상오치어린이공원,어린이공원,광주광역시 북구 오치동 934-1,062-410-6438
29170-00044,하오치어린이공원,어린이공원,광주광역시 북구 우치로228번길 32,062-410-6438
29170-00045,샛터어린이공원,어린이공원,광주광역시 북구 오치동 927-1,062-410-6438
29170-00046,차돌(독)어린이공원,어린이공원,광주광역시 북구 우치로275번길 29,062-410-6438
29170-00047,군황어린이공원,어린이공원,광주광역시 북구 무진성길 58,062-410-6438
29170-00048,송학어린이공원,어린이공원,광주광역시 북구 삼정로 7,062-410-6438
29170-00049,개나리어린이공원,어린이공원,광주광역시 북구 문화소통로 214,062-410-6438
29170-00050,사랑어린이공원,어린이공원,광주광역시 북구 중문로 55,062-410-6438
29170-00051,용봉어린이공원,어린이공원,광주광역시 북구 문화소통로 186,062-410-6438
29170-00052,충효어린이공원,어린이공원,광주광역시 북구 서방로39번길 68,062-410-6438
29170-00053,현대어린이공원,어린이공원,광주광역시 북구 중문로83번길 7-10,062-410-6438
29170-00054,삼정어린이공원,어린이공원,광주광역시 북구 삼정로 64,062-410-6438
29170-00055,장수어린이공원,어린이공원,광주광역시 북구 갈마로 73,062-410-6438
29170-00056,느티나무어린이공원,어린이공원,광주광역시 북구 서하로 407,062-410-6438
29170-00057,늘푸른어린이공원,어린이공원,광주광역시 북구 부남길26번길 20,062-410-6438
29170-00058,동심어린이공원,어린이공원,광주광역시 북구 문산로 43-8,062-410-6438
29170-00059,문산어린이공원,어린이공원,광주광역시 북구 부남길8번길 10,062-410-6438
29170-00060,바느실어린이공원,어린이공원,광주광역시 북구 대천로 186,062-410-6438
29170-00062,소망어린이공원,어린이공원,광주광역시 북구 문산로 27-7,062-410-6438
29170-00063,송정어린이공원,어린이공원,광주광역시 북구 대천로157번길 73,062-410-6438
29170-00064,오정어린이공원,어린이공원,광주광역시 북구 송월로40번길 23,062-410-6438
29170-00065,장미어린이공원,어린이공원,광주광역시 북구 대천로 119-1,062-410-6438
29170-00066,진달래어린이공원,어린이공원,광주광역시 북구 서하로355번길 12,062-410-6438
29170-00067,철쭉어린이공원,어린이공원,광주광역시 북구 문산로 4,062-410-6438
29170-00068,동산어린이공원,어린이공원,광주광역시 북구 북문대로242번길 11,062-410-6438
29170-00069,산동어린이공원,어린이공원,광주광역시 북구 동림동 1146-2,062-410-6438
29170-00070,푸른어린이공원,어린이공원,광주광역시 북구 동림용산로 30,062-410-6438
29170-00071,한마음어린이공원,어린이공원,광주광역시 북구 동림용산로 12,062-410-6438
29170-00072,가작어린이공원,어린이공원,광주광역시 북구 설죽로 439,062-410-6438
29170-00073,당산어린이공원,어린이공원,광주광역시 북구 일곡동 818-2,062-410-6438
29170-00074,들샘어린이공원,어린이공원,광주광역시 북구 일곡마을로 38,062-410-6438
29170-00075,비둘기어린이공원,어린이공원,광주광역시 북구 삼각동 777-2,062-410-6438
29170-00076,삼각어린이공원,어린이공원,광주광역시 북구 삼각동 809-9,062-410-6438
29170-00077,서일어린이공원,어린이공원,광주광역시 북구 일곡동 816-2,062-410-6438
29170-00078,소소리어린이공원,어린이공원,광주광역시 북구 일곡동 857-1,062-410-6438
29170-00079,용수어린이공원,어린이공원,광주광역시 북구 삼각동 770-2,062-410-6438
29170-00080,월산어린이공원,어린이공원,광주광역시 북구 일곡동 825-1,062-410-6438
29170-00081,일곡어린이공원,어린이공원,광주광역시 북구 일곡로41번길 16,062-410-6438
29170-00082,일동어린이공원,어린이공원,광주광역시 북구 일곡동 902-1,062-410-6438
29170-00083,한새어린이공원,어린이공원,광주광역시 북구 일곡동 814-2,062-410-6438
29170-00084,신안북어린이공원,어린이공원,광주광역시 북구 중흥로118번길 12,062-410-6438
29170-00085,용봉동어린이공원,어린이공원,광주광역시 북구 용봉동 1417-1,062-410-6438
29170-00086,용봉동부어린이공원,어린이공원,광주광역시 북구 용봉동 1368-1,062-410-6438
29170-00087,용봉북어린이공원,어린이공원,광주광역시 북구 문화소통로 22,062-410-6438
29170-00088,용봉서부어린이공원,어린이공원,광주광역시 북구 용봉동 1392-1,062-410-6438
29170-00061,백일홍어린이공원,어린이공원,광주광역시 북구 천지인로 241,062-410-6438
29170-00089,용봉중앙어린이공원,어린이공원,광주광역시 북구 용봉동 1363-1,062-410-6438
29170-00090,양산 제1어린이공원,어린이공원,광주광역시 북구 본촌동 2849,062-410-6438
29170-00091,양산 제2어린이공원,어린이공원,광주광역시 북구 본촌동 3076,062-410-6438
29170-00092,양산 제3어린이공원,어린이공원,광주광역시 북구 본촌동 2990,062-410-6438
29170-00093,양산 제4어린이공원,어린이공원,광주광역시 북구 양산동 3080,062-410-6438
29170-00094,양산 제5어린이공원,어린이공원,광주광역시 북구 양산동 764,062-410-6438
29170-00095,양산 제6어린이공원,어린이공원,광주광역시 북구 양산동 837,062-410-6438
29170-00096,양산 제7어린이공원,어린이공원,광주광역시 북구 양산동 1006,062-410-6438
29170-00097,양산 제8어린이공원,어린이공원,광주광역시 북구 양산동 1090,062-410-6438
29170-00098,신평어린이공원,어린이공원,광주광역시 북구 용두동 311-36,062-410-6438
29170-00099,첨단2주거 1호어린이공원,어린이공원,광주광역시 북구 신용동 658,062-410-6438
29170-00100,첨단2주거 2호어린이공원,어린이공원,광주광역시 북구 신용동 670,062-410-6438
